domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2019,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2019,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2019,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2019,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2019,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRPO,PRPO.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D10_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.inlet,WGS84,inlet,2017,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.inlet,WGS84,inlet,2017,NEON_D10_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.outlet,WGS84,outlet,2017,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.outlet,WGS84,outlet,2017,NEON_D10_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.inlet,WGS84,inlet,2019,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.outlet,WGS84,outlet,2019,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D15,REDB,REDB.AOS.S2,WGS84,S2,2017,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D15,REDB,REDB.AOS.S2,WGS84,S2,2017,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D15,REDB,REDB.AOS.reach,WGS84,reach,2017,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D03,SUGG,SUGG.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D03,SUGG,SUGG.AOS.inlet,WGS84,inlet,2017,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D03,SUGG,SUGG.AOS.outlet,WGS84,outlet,2017,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D03,SUGG,SUGG.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D03,SUGG,SUGG.AOS.inlet,WGS84,inlet,2018,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D03,SUGG,SUGG.AOS.outlet,WGS84,outlet,2018,NEON_D03_OSBS_DP3_401000_3284000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.outlet,WGS84,outlet,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.inlet,WGS84,inlet,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2017,NEON_D18_TOOL_DP3_393000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2017,NEON_D18_TOOL_DP3_394000_7614000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2017,NEON_D18_TOOL_DP3_394000_7615000_reflectance.h5
D18,TOOK,TOOK.AOS.reach,WGS84,reach,2017,NEON_D18_TOOL_DP3_394000_7616000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D13,WLOU,WLOU.AOS.S2,WGS84,S2,2017,NEON_D13_WLOU_DP3_422000_4416000_reflectance.h5
D13,WLOU,WLOU.AOS.S2,WGS84,S2,2019,NEON_D13_WLOU_DP3_422000_4416000_reflectance.h5
D07,LECO,LECO.AOS.S2,WGS84,S2,2015,NEON_D07_GRSM_DP3_273000_3952000_reflectance.h5
D07,LECO,LECO.AOS.S2,WGS84,S2,2017,NEON_D07_GRSM_DP3_273000_3952000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,2017,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,2017,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,2018,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,2018,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,2019,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,2019,NEON_D08_DELA_DP3_425000_3600000_reflectance.h5
D14,SYCA,SYCA.AOS.S2,WGS84,S2,2019,NEON_D14_SYCA_DP3_452000_3734000_reflectance.h5
D14,SYCA,SYCA.AOS.reach,WGS84,reach,2019,NEON_D14_SYCA_DP3_452000_3734000_reflectance.h5
