domanID,siteID,nmdLctn,gdtcDtm,year,h5_files
D05,CRAM,CRAM.AOS.outlet,WGS84,outlet,2020,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2020,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.inlet,WGS84,inlet,2020,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2020,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c2,WGS84,buoy.c2,2020,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D05_UNDE_DP3_308000_5120000_reflectance.h5
D05,CRAM,CRAM.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D05_UNDE_DP3_309000_5120000_reflectance.h5
D05,LIRO,LIRO.AOS.outlet,WGS84,outlet,2020,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.inlet,WGS84,inlet,2020,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D05,LIRO,LIRO.AOS.buoy.c2,WGS84,buoy.c2,2020,NEON_D05_LIRO_DP3_290000_5097000_reflectance.h5
D06,KING,KING.AOS.S2,WGS84,S2,2020,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,KING,KING.AOS.reach,WGS84,reach,2020,NEON_D06_KONZ_DP3_707000_4331000_reflectance.h5
D06,MCDI,MCDI.AOS.S2,WGS84,S2,2020,NEON_D06_MCDI_DP3_721000_4313000_reflectance.h5
D06,MCDI,MCDI.AOS.reach,WGS84,reach,2020,NEON_D06_MCDI_DP3_721000_4313000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2019,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2019,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2019,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2019,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c0,WGS84,buoy.c0,2019,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,TOMB,TOMB.AOS.buoy.c2,WGS84,buoy.c2,2019,NEON_D08_LENO_DP3_390000_3524000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2019,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.S2,WGS84,S2,2019,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2019,NEON_D08_TALL_DP3_461000_3646000_reflectance.h5
D08,MAYF,MAYF.AOS.reach,WGS84,reach,2019,NEON_D08_TALL_DP3_461000_3647000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2020,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2020,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.inlet,WGS84,inlet,2020,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2020,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2020,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.outlet,WGS84,outlet,2020,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2020,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2020,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.reach,WGS84,reach,2020,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D09_WOOD_DP3_490000_5222000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D09_WOOD_DP3_490000_5223000_reflectance.h5
D09,PRLA,PRLA.AOS.buoy.c1,WGS84,buoy.c1,2020,NEON_D09_WOOD_DP3_491000_5222000_reflectance.h5
D09,PRPO,PRPO.AOS.buoy.c0,WGS84,buoy.c0,2020,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.inlet,WGS84,inlet,2020,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D09,PRPO,PRPO.AOS.outlet,WGS84,outlet,2020,NEON_D09_WOOD_DP3_480000_5219000_reflectance.h5
D10,ARIK,ARIK.AOS.S2,WGS84,S2,2020,NEON_D10_ARIK_DP3_718000_4404000_reflectance.h5
D10,ARIK,ARIK.AOS.reach,WGS84,reach,2020,NEON_D10_ARIK_DP3_718000_4404000_reflectance.h5
D11,PRIN,PRIN.AOS.S2,WGS84,S2,2017,NEON_D11_PRIN_DP3_613000_3693000_reflectance.h5
D11,PRIN,PRIN.AOS.reach,WGS84,reach,2017,NEON_D11_PRIN_DP3_613000_3693000_reflectance.h5
D12,BLDE,BLDE.AOS.S2,WGS84,S2,2020,NEON_D12_YELL_DP3_532000_4977000_reflectance.h5
D13,WLOU,WLOU.AOS.S2,WGS84,S2,2020,NEON_D13_WLOU_DP3_422000_4416000_reflectance.h5
D15,REDB,REDB.AOS.S2,WGS84,S2,2019,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D15,REDB,REDB.AOS.S2,WGS84,S2,2019,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D15,REDB,REDB.AOS.reach,WGS84,reach,2019,NEON_D15_REDB_DP3_432000_4515000_reflectance.h5
D16,MART,MART.AOS.S2,WGS84,S2,2019,NEON_D16_WREF_DP3_583000_5071000_reflectance.h5
D16,MCRA,MCRA.AOS.S2,WGS84,S2,2018,NEON_D16_MCRA_DP3_566000_4900000_reflectance.h5
D17,BIGC,BIGC.AOS.S2,WGS84,S2,2019,NEON_D17_SOAP_DP3_299000_4103000_reflectance.h5
D17,TECR,TECR.AOS.S2,WGS84,S2,2019,NEON_D17_TEAK_DP3_319000_4091000_reflectance.h5
D19,CARI,CARI.AOS.S2,WGS84,S2,2019,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
D19,CARI,CARI.AOS.reach,WGS84,reach,2019,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
D02,LEWI,LEWI.AOS.S2,WGS84,S2,2019,NEON_D02_BLAN_DP3_761000_4331000_reflectance.h5
D13,COMO,COMO.AOS.S2,WGS84,S2,2020,NEON_D13_NIWO_DP3_453000_4431000_reflectance.h5
D10,ARIK,ARIK.AOS.S2,WGS84,S2,2017,NEON_D10_ARIK_DP3_718000_4404000_reflectance.h5
D10,ARIK,ARIK.AOS.reach,WGS84,reach,2017,NEON_D10_ARIK_DP3_718000_4404000_reflectance.h5
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,2017,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D03,BARC,BARC.AOS.inlet,WGS84,inlet,2017,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D03,BARC,BARC.AOS.outlet,WGS84,outlet,2017,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D03,BARC,BARC.AOS.buoy.c0,WGS84,buoy.c0,2018,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D03,BARC,BARC.AOS.inlet,WGS84,inlet,2018,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D03,BARC,BARC.AOS.outlet,WGS84,outlet,2018,NEON_D03_OSBS_DP3_402000_3283000_reflectance.h5
D17,BIGC,BIGC.AOS.S2,WGS84,S2,2018,NEON_D17_SOAP_DP3_299000_4103000_reflectance.h5
D12,BLDE,BLDE.AOS.S2,WGS84,S2,2018,NEON_D12_YELL_DP3_532000_4977000_reflectance.h5
D12,BLDE,BLDE.AOS.S2,WGS84,S2,2019,NEON_D12_YELL_DP3_532000_4977000_reflectance.h5
D12,BLDE,BLDE.AOS.S2,WGS84,S2,2019,NEON_D12_YELL_DP3_532000_4977000_reflectance.h5
D19,CARI,CARI.AOS.S2,WGS84,S2,2017,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
D19,CARI,CARI.AOS.reach,WGS84,reach,2017,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
D19,CARI,CARI.AOS.S2,WGS84,S2,2018,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
D19,CARI,CARI.AOS.reach,WGS84,reach,2018,NEON_D19_BONA_DP3_476000_7225000_reflectance.h5
