domainID,siteID,namedLocation,collectDate,analyte,analyteConcentration,analyteUnits,sampleCondition,collectDateDate,timediff,spectra
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (254 nm),NA,NA,Other,2014-06-03,14,BARC-inle-20140520_155014
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (280 nm),NA,NA,Other,2014-06-03,14,BARC-inle-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,TSS,7.5,milligramsPerLiter,GOOD,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,TDS,10,milligramsPerLiter,GOOD,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,DOC,0.47,milligramsPerLiter,GOOD,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,TOC,0.93,milligramsPerLiter,GOOD,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,Fe,21.7,milligramsPerLiter,GOOD,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,UV Absorbance (254 nm),NA,NA,Other,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.outlet,2014-06-03T14:55:00Z,UV Absorbance (280 nm),NA,NA,Other,2014-06-03,14,BARC-outl-20140520_155014
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TSS,7.5,milligramsPerLiter,GOOD,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TDS,23,milligramsPerLiter,GOOD,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,DOC,0.32,milligramsPerLiter,GOOD,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,TOC,0.35,milligramsPerLiter,GOOD,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,Fe,22.6,milligramsPerLiter,GOOD,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (254 nm),NA,NA,Other,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.inlet,2014-06-03T14:30:00Z,UV Absorbance (280 nm),NA,NA,Other,2014-06-03,14,BARC-inle-20140520_155830
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,TSS,2,milligramsPerLiter,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,TDS,17.1,milligramsPerLiter,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,DOC,2.491,milligramsPerLiter,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,TOC,2.572,milligramsPerLiter,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,Fe,0.104,milligramsPerLiter,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,UV Absorbance (254 nm),0.0619,NA,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
D03,BARC,BARC.AOS.buoy.c0,2017-10-10T14:03:00Z,UV Absorbance (280 nm),0.0418,NA,GOOD,2017-10-10,13,BARC-buoy-20170927_170305
