aop_siteyear,aq_site,aop_yr,loc_type,flightdate,radiance_time,collectDate,namedLocation,analyteid,analyte,analyteConcentration,time_diff_days,multiple_flightlines,multiple_flightdates,overlap_final
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-05-07T16:25:00Z,TOMB.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.1442,1.7,NA,FALSE,NA
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-05-07T16:25:00Z,TOMB.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0959,1.7,NA,FALSE,NA
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-05-07T16:25:00Z,TOMB.AOS.buoy.c0,doc,DOC,4.699,1.7,NA,FALSE,NA
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-05-07T16:25:00Z,TOMB.AOS.buoy.c0,tss,TSS,26,1.7,NA,FALSE,NA
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-04-09T00:00:00Z,TOMB.AOS.buoy.c0,chla,chlorophyll a,9.74,-27,NA,FALSE,NA
TOMB2019,TOMB,2019,buoy.c0,2019-05-06,2019-05-06T00:00:00Z,2019-04-09T00:00:00Z,TOMB.AOS.buoy.c0,chla,pheophytin,10.83,-27,NA,FALSE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2017-09-06T00:00:00Z,TOOK.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0898,55,NA,TRUE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2017-09-06T00:00:00Z,TOOK.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0592,55,NA,TRUE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2017-09-06T00:00:00Z,TOOK.AOS.buoy.c0,doc,DOC,4.209,55,NA,TRUE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2017-09-06T00:00:00Z,TOOK.AOS.buoy.c0,tss,TSS,2,55,NA,TRUE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2018-06-28T00:00:00Z,TOOK.AOS.buoy.c0,chla,chlorophyll a,1.6,350,NA,TRUE,NA
TOOK2017,TOOK,2017,buoy.c0,2017-07-13,2017-07-13T00:00:00Z,2018-06-28T00:00:00Z,TOOK.AOS.buoy.c0,chla,pheophytin,1.26,350,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-05T19:20:00Z,TOOK.AOS.buoy.c0,SUVA254,UV Absorbance (250 nm),0.0165,-31.2,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-05T19:20:00Z,TOOK.AOS.buoy.c0,SUVA280,UV Absorbance (280 nm),0.0095,-31.2,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-05T19:20:00Z,TOOK.AOS.buoy.c0,doc,DOC,0.9053,-31.2,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-05T19:20:00Z,TOOK.AOS.buoy.c0,tss,TSS,2,-31.2,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-28T00:00:00Z,TOOK.AOS.buoy.c0,chla,chlorophyll a,1.6,-9,NA,TRUE,NA
TOOK2018,TOOK,2018,buoy.c0,2018-07-07,2018-07-07T00:00:00Z,2018-06-28T00:00:00Z,TOOK.AOS.buoy.c0,chla,pheophytin,1.26,-9,NA,TRUE,NA
