domanID,siteID,nmdLctn,gdtcDtm,loctype,cellid,cellrow,cellcol,cellx,celly,sensor_zenith,solar_zenith,clouds,flightline,aop_site,crs,flightdate,radfile,gpstime_hrs,rad_flightline
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5794587,7076,162,425063.5,3600648.5,13.010820388793944,39.3169726311511,Green (<10%) cloud cover,20170515_150153,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L012-1_radiance,15.083941459655762,L012-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5794587,7076,162,425063.5,3600648.5,13.010820388793944,39.3169726311511,Green (<10%) cloud cover,20170515_150153,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L012-1_radiance,15.083941459655762,L012-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5794587,7076,162,425063.5,3600648.5,13.010820388793944,39.3169726311511,Green (<10%) cloud cover,20170515_150153,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L012-1_radiance,15.083941459655762,L012-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5426019,6724,558,425063.5,3600648.5,11.507014274597168,37.701323045480144,Green (<10%) cloud cover,20170515_150942,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L013-1_radiance,15.20082664489746,L013-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5426019,6724,558,425063.5,3600648.5,11.507014274597168,37.701323045480144,Green (<10%) cloud cover,20170515_150942,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L013-1_radiance,15.20082664489746,L013-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5426019,6724,558,425063.5,3600648.5,11.507014274597168,37.701323045480144,Green (<10%) cloud cover,20170515_150942,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L013-1_radiance,15.20082664489746,L013-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,5709174,691,7014,425063.5,3600648.5,6.234264850616455,17.54108718039506,Yellow (10 - 50%) cloud cover,20170515_165759,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L001-1_radiance,17.017009735107422,L001-1
D08,BLWA,BLWA.AOS.buoy.c1,WGS84,buoy.c1,5709174,691,7014,425063.5,3600648.5,6.234264850616455,17.54108718039506,Yellow (10 - 50%) cloud cover,20170515_165759,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L001-1_radiance,17.017009735107422,L001-1
D08,BLWA,BLWA.AOS.buoy.c2,WGS84,buoy.c2,5709174,691,7014,425063.5,3600648.5,6.234264850616455,17.54108718039506,Yellow (10 - 50%) cloud cover,20170515_165759,DELA,EPSG:32616,2017-05-15,NEON_D08_DELA_DP1_20170515_L001-1_radiance,17.017009735107422,L001-1
D08,BLWA,BLWA.AOS.buoy.c0,WGS84,buoy.c0,4403308,555,2332,425063.5,3600648.5,7.703665733337402,39.75288377763205,Red (> 50%) cloud cover,20170516_203433,DELA,EPSG:32616,2017-05-16,NEON_D08_DELA_DP1_20170516_L001-1_radiance,20.602676391601562,L001-1
